App;Spend in USD;3D ROAS;7D ROAS;14D ROAS;30D ROAS;90D ROAS;Impressions;Clicks;Installs;CTR;Install Rate;eCPC;eCPM;1D Retention;3D Retention;7D Retention;3D Total Revenue;7D Total Revenue;14D Total Revenue;30D Total Revenue;90D Total Revenue
Picture Cross (AppyNation);107.09;22.08;33.73;45.87;55.9;56.18;26727;3292;256;12.32;7.78;0.03;4.01;87;66.7;42.9;23.65;36.12;49.12;59.87;60.16
My Monsters;107.08;13.86;22.37;36.5;51.63;52.89;9230;2031;285;22;14.03;0.05;11.6;77.8;61.7;43.7;14.84;23.95;39.08;55.29;56.64
Last Day On Earth: Zombie Survival;106.91;41.87;54.74;72.71;82.58;82.58;25290;1045;306;4.13;29.28;0.1;4.23;83.3;0;0;44.76;58.53;77.74;88.29;88.29
fire rides;106.81;35.84;55.77;70.67;84.57;85.07;106341;5800;301;5.45;5.19;0.02;1;79.7;62.1;57.5;38.29;59.57;75.48;90.33;90.86
stack jump;103.76;58.72;66.66;80.32;112.17;113.76;145110;9905;293;6.83;2.96;0.01;0.72;59.5;52.5;48.4;60.93;69.17;83.34;116.38;118.03
Bubble Cloud Planet;103.73;30.55;37.89;62.8;73.56;78.14;76677;13557;271;17.68;2;0.01;1.35;60.5;49;40;31.69;39.31;65.15;76.31;81.06
c.a.t.s.;103.43;30.76;39.8;55.14;84.13;87.27;40618;1129;365;2.78;32.33;0.09;2.55;70;73.2;55.6;31.82;41.16;57.03;87.01;90.27
PickCrafter iOS;102.9;40.78;49;73.84;109.78;116.54;880;129;86;14.66;66.67;0.8;116.93;100;50;41;41.96;50.42;75.98;112.96;119.91
My Talking Tom Gold Run (13+);101.49;8.44;9.61;14.71;19.64;19.64;18148;6047;305;33.32;5.04;0.02;5.59;55.9;26.8;15.2;8.56;9.76;14.93;19.93;19.93
robberybob2;100.48;9.44;16.01;18.6;23.33;30.06;11756;3528;247;30.01;7;0.03;8.55;72;39.1;29.1;9.49;16.08;18.69;23.44;30.2
dumb ways {1195};100.35;0.59;0.59;0.59;0.59;0.59;6426;2074;93;32.28;4.48;0.05;15.62;0;0;0;0.59;0.59;0.59;0.59;0.59
dunk hit;96.1;11.96;26.06;33.08;42.87;43.55;4590;260;103;5.66;39.62;0.37;20.94;100;0;0;11.5;25.05;31.8;41.2;41.86
Billionaire;95.94;25.91;41.56;65.71;66.36;66.36;1810;134;77;7.4;57.46;0.72;53.01;70;60;29.4;24.86;39.88;63.04;63.67;63.67
