App;Spend in USD;3D ROAS;7D ROAS;14D ROAS;30D ROAS;90D ROAS;Impressions;Clicks;Installs;CTR;Install Rate;eCPC;eCPM;1D Retention;3D Retention;7D Retention;3D Total Revenue;7D Total Revenue;14D Total Revenue;30D Total Revenue;90D Total Revenue
Talking Tom Gold Run;57.3;20.05;24.09;31;31;31;4180;302;59;7.22;19.54;0.19;13.71;55.6;0;0;11.49;13.8;17.76;17.76;17.76
boss 3;56.85;16.02;21.37;24.27;51.46;51.46;1390;590;57;42.45;9.66;0.1;40.9;66.7;75;11.1;9.1;12.15;13.8;29.25;29.25
Geometry Dash World iOS;56.7;9.78;13.85;16.01;16.01;16.53;1717;233;47;13.57;20.17;0.24;33.02;81.3;56.3;0;5.54;7.85;9.08;9.08;9.37
AnonymousGame_545259;56.7;42.14;47.69;55.55;60.58;60.58;3088;364;135;11.79;37.09;0.16;18.36;76.5;60;31.4;23.89;27.04;31.5;34.35;34.35
music tiles;56.49;10.12;12.34;12.45;12.62;12.62;6939;2277;112;32.81;4.92;0.02;8.14;56.5;55.6;37.5;5.71;6.97;7.03;7.13;7.13
Stickman Ragdoll Annihilation;56.45;58.47;86.92;116.19;123.81;123.81;4651;122;56;2.62;45.9;0.46;12.14;81.8;0;0;33.01;49.06;65.59;69.89;69.89
Toilet Time;56.39;2.52;2.52;7.49;10.71;10.71;3015;1173;128;38.91;10.91;0.05;18.7;59.1;45.5;50;1.42;1.42;4.22;6.04;6.04
mmm fingers 2;55.75;18.16;28.89;31.12;40.11;40.23;12325;2745;172;22.27;6.27;0.02;4.52;91.7;68.2;45.5;10.12;16.1;17.35;22.36;22.43
Word Cookies!;55.7;21.52;27.13;27.13;31.33;32.51;3861;196;91;5.08;46.43;0.28;14.43;74.2;0;0;11.99;15.11;15.11;17.45;18.11
bid wars;55.59;74.26;88.03;103.23;113.81;116.07;9729;2016;128;20.72;6.35;0.03;5.71;70.8;76.5;42.9;41.28;48.94;57.39;63.27;64.52
Brain Dots;55.36;23.27;26.39;40.98;89.97;90.21;16371;487;125;2.97;25.67;0.11;3.38;80;37.5;31.3;12.88;14.61;22.69;49.81;49.94
robberybob2;55.22;21.26;28.79;28.79;28.79;29.57;2413;777;61;32.2;7.85;0.07;22.89;100;20;75;11.74;15.9;15.9;15.9;16.33
Snake Towers;54.75;28.22;38.17;55.52;96.91;96.91;1691;136;52;8.04;38.24;0.4;32.38;100;60;50;15.45;20.9;30.4;53.06;53.06
### com.kingapp.snakebattle;54.69;21.49;24.1;29.53;31.52;31.52;9666;3288;145;34.02;4.41;0.02;5.66;70.8;52.9;21.9;11.76;13.18;16.15;17.24;17.24
PvZ 2 iOS;54.65;31.28;52.64;83.3;113.04;113.04;30572;728;177;2.38;24.31;0.08;1.79;86.2;70.8;55.6;17.1;28.77;45.52;61.77;61.77
Block City Wars;54.44;6.28;12.25;14.07;14.07;14.07;1462;207;48;14.16;23.19;0.26;37.24;68;57.1;50;3.42;6.67;7.66;7.66;7.66
top drives;54.33;38.51;58.1;64.14;154.37;157.72;7157;340;152;4.75;44.71;0.16;7.59;77.4;82.6;39.3;20.92;31.57;34.84;83.87;85.69
leap day;54.33;7.09;10.14;11.12;11.79;11.79;17150;5759;122;33.58;2.12;0.01;3.17;78.3;61.5;0;3.85;5.51;6.04;6.41;6.41
Dumb Ways 2 {2739};54;28.26;28.26;29.63;32.79;42.13;2336;321;27;13.74;8.41;0.17;23.12;0;0;0;15.26;15.26;16;17.71;22.75
AnonymousGame_545259;53.66;23.26;34.21;36.27;52.36;53.87;2877;333;125;11.57;37.54;0.16;18.65;79.4;44;35.9;12.48;18.35;19.46;28.09;28.9
paint tower!;53.65;20.63;32.02;42.84;48.63;49.55;2538;537;91;21.16;16.95;0.1;21.14;84.6;74.1;38.2;11.07;17.17;22.98;26.09;26.58
My Talking Tom Gold Run (13+);53.63;7.85;14.71;18.29;19.02;19.15;9607;2210;149;23;6.74;0.02;5.58;68.2;35;20.8;4.21;7.89;9.81;10.2;10.27
Epic Party Clicker;53.5;6.84;12.35;16.22;16.22;32.66;1173;178;42;15.17;23.6;0.3;45.61;0;0;0;3.66;6.61;8.68;8.68;17.47
blocks;53.21;19.56;19.56;24.88;38.74;40;3372;878;40;26.04;4.56;0.06;15.78;0;0;0;10.41;10.41;13.24;20.61;21.28
Sniper 3D Assassin: Shoot to Kill Gun Game;53.19;23.51;42.47;70.78;94.84;94.84;7574;191;54;2.52;28.27;0.28;7.02;88.9;0;0;12.51;22.59;37.65;50.45;50.45
lolo;52.99;45.41;63.2;86.46;119.08;124.07;11013;1593;125;14.46;7.85;0.03;4.81;100;62.5;44.2;24.06;33.49;45.82;63.1;65.74
akinator free;52.85;6.62;12.46;20.18;22.49;22.49;2723;119;44;4.37;36.97;0.44;19.41;87.5;60;66.7;3.5;6.59;10.66;11.89;11.89
touchdowners;52.74;18.5;27.31;33.19;37.07;38.32;2335;1028;122;44.03;11.87;0.05;22.59;62.5;57.1;40.3;9.76;14.4;17.51;19.55;20.21
catch up;52.64;13.43;16.31;17.56;19.95;19.95;7741;820;119;10.59;14.51;0.06;6.8;80.9;39.3;66.7;7.07;8.59;9.25;10.5;10.5
narcos: cartel wars;52.49;14.49;23.55;30.59;50.09;50.78;3825;141;49;3.69;34.75;0.37;13.72;75;92.3;53.8;7.61;12.36;16.06;26.29;26.65
snake off;52.45;72.2;76.35;82.57;127.72;127.72;2637;407;80;15.43;19.66;0.13;19.89;88.2;33.3;58.6;37.86;40.04;43.3;66.98;66.98
the sandbox;52.43;55.72;63.65;101.42;104.37;104.37;4408;585;120;13.27;20.51;0.09;11.89;76.3;51.9;48.1;29.21;33.37;53.17;54.72;54.72
jetpack;52.07;17.59;36.04;51.2;53.46;53.46;2886;374;42;12.96;11.23;0.14;18.04;0;0;0;9.16;18.76;26.66;27.84;27.84
Idle Heroes ios;52;71.27;83.22;119.2;143;275.82;2925;137;45;4.68;32.85;0.38;17.78;0;0;66.7;37.06;43.27;61.98;74.36;143.43
blocks;51.79;77.79;130.51;156.17;172.85;172.85;11508;754;187;6.55;24.8;0.07;4.5;86.9;0;0;40.29;67.59;80.88;89.52;89.52
Dungeon Inc iOS;51.75;33.43;75.25;80.24;106.07;128.14;1626;145;26;8.92;17.93;0.36;31.83;0;0;0;17.3;38.94;41.53;54.89;66.31
Grumpy Cat's Worst Game Ever;51.25;2.83;2.83;8.73;8.73;8.73;1653;516;52;31.22;10.08;0.1;31;40;20;42.9;1.45;1.45;4.47;4.47;4.47
CheatingTom2;51.2;55.46;64.75;68.53;71.49;71.49;2320;144;52;6.21;36.11;0.36;22.07;0;0;22.2;28.39;33.15;35.09;36.61;36.61
Stickman Turbo Dismounting;51.2;58.93;69.25;87.68;98.17;98.17;5436;139;51;2.56;36.69;0.37;9.42;80.8;0;0;30.17;35.46;44.89;50.26;50.26
ballz;51.16;47.59;91.48;124.02;130.42;130.42;2006;102;41;5.08;40.2;0.5;25.5;100;55.6;25;24.35;46.8;63.45;66.72;66.72
Traffic Rider;50.99;10.6;24.43;25.07;33.84;33.84;7862;228;85;2.9;37.28;0.22;6.49;72.7;0;0;5.41;12.45;12.78;17.26;17.26
Cookie Clickers 2 iOS;50.87;6.8;10.17;14.45;15.87;16.2;2152;97;46;4.51;47.42;0.52;23.64;62.5;50;50;3.46;5.17;7.35;8.07;8.24
BeggarKing2;50.79;38.51;49.86;66.77;106.11;109.35;9005;229;71;2.54;31;0.22;5.64;100;100;33.3;19.56;25.32;33.91;53.89;55.54
monkey ropes;50.52;18.56;19.41;21.31;33.08;33.08;3540;1544;101;43.62;6.54;0.03;14.27;71.4;42.1;20.5;9.38;9.81;10.76;16.71;16.71
chestsim;50.5;128.66;128.66;128.66;129.9;129.9;3467;376;43;10.85;11.44;0.13;14.57;0;0;25;64.97;64.97;64.97;65.6;65.6
pixel car racer;50.37;3.87;6.06;6.78;84.63;119.63;4910;170;51;3.46;30;0.3;10.26;0;0;0;1.95;3.05;3.41;42.62;60.25
Top Eleven;49.87;201.08;577.2;1313.83;1515.52;1878.69;13939;221;43;1.59;19.46;0.23;3.58;77.8;80;100;100.28;287.85;655.21;755.79;936.9
mmm fingers 2;49.51;37.23;37.23;37.23;40.83;40.83;853;116;49;13.6;42.24;0.43;58.04;50;50;0;18.43;18.43;18.43;20.21;20.21
hempire;49.5;37.13;82.76;103.92;137.54;190.3;4741;252;30;5.32;11.9;0.2;10.44;0;0;0;18.38;40.97;51.44;68.08;94.2
Magic Piano by Smule;49.5;0;0;1.49;1.49;1.49;5057;1417;33;28.02;2.33;0.03;9.79;0;0;0;0;0;0.74;0.74;0.74
color;49.33;28.83;44.85;64.83;88.93;94.88;3388;412;25;12.16;6.07;0.12;14.56;0;0;0;14.22;22.13;31.98;43.87;46.8
Hexar.io;49.15;6.31;17.24;19.17;21.66;21.9;533;86;38;16.14;44.19;0.57;92.21;78.6;16.7;18.2;3.1;8.47;9.42;10.64;10.76
Happy Soccer Physics;49.11;144.8;145.75;288.86;301.17;301.17;9463;758;177;8.01;23.35;0.06;5.19;72.7;34.1;28.6;71.11;71.58;141.86;147.91;147.91
chicken;48.64;7.07;12.36;13.39;14.18;14.18;3458;1714;106;49.57;6.18;0.03;14.07;47.1;44;32.6;3.44;6.01;6.51;6.9;6.9
Candy Block Puzzle Blitz;47.95;17.19;28.31;38.64;44.11;57.19;19739;5145;93;26.07;1.81;0.01;2.43;40;12.5;33.3;8.24;13.58;18.53;21.15;27.42
Block! Hexa Puzzle;47.68;38.97;45.89;47.94;51.33;51.33;6752;298;93;4.41;31.21;0.16;7.06;58.6;0;0;18.58;21.88;22.86;24.47;24.47
Goat Evolution;47.48;50.81;63.56;81.36;105.24;105.24;1074;103;42;9.59;40.78;0.46;44.21;90;78.6;44.4;24.12;30.18;38.63;49.97;49.97
se.illusionlabs.bacon-escape;47.43;50.97;68.33;105.42;118.07;118.07;2246;155;41;6.9;26.45;0.31;21.12;90.9;75;0;24.17;32.41;50;56;56
Tap Titans 2;47.04;90.03;100.08;117.79;152.37;152.37;2482;91;42;3.67;46.15;0.52;18.95;50;69.2;27.3;42.35;47.08;55.41;71.67;71.67
sniperShooter;46.9;1.38;1.38;1.38;3.78;3.78;3781;813;43;21.5;5.29;0.06;12.4;66.7;62.5;0;0.65;0.65;0.65;1.77;1.77
chestsim;46.84;89.99;113.52;114.87;126.99;136.68;7481;2010;147;26.87;7.31;0.02;6.26;75;55.2;28.6;42.15;53.17;53.8;59.48;64.02
ads_qa_15;46.79;7.64;7.99;7.99;13.71;13.71;3701;1549;111;41.85;7.17;0.03;12.64;54.5;33.3;28.1;3.58;3.74;3.74;6.41;6.41
Toilet Time;46.6;8.7;9.41;14.37;16.85;18.97;3767;1613;116;42.82;7.19;0.03;12.37;63.4;44.7;28.6;4.05;4.38;6.69;7.85;8.84
solitaire;46.6;137.19;189.45;222.27;262.23;262.37;5843;249;94;4.26;37.75;0.19;7.98;100;42.9;40;63.93;88.28;103.58;122.2;122.27
clash.io;46.32;16.67;54.54;138.78;143.41;143.41;1431;104;46;7.27;44.23;0.45;32.37;60;50;0;7.72;25.26;64.28;66.43;66.43
Piano Tiles 2 (Don t Tap The White Tile 2);46.24;9.16;13.5;22.21;33.68;33.68;7504;319;86;4.25;26.96;0.14;6.16;0;0;0;4.24;6.24;10.27;15.57;15.57
Mad Skills Motocross 2 - iOS;45.9;28.87;49.14;49.14;49.14;49.14;4945;1079;45;21.82;4.17;0.04;9.28;66.7;69.2;40;13.25;22.55;22.55;22.55;22.55
sonic dash;45.8;37.31;37.31;39.12;48.12;48.12;10603;3612;132;34.07;3.65;0.01;4.32;70;45.8;13.5;17.09;17.09;17.92;22.04;22.04
sonic dash;45.31;0;1.17;4.95;15.15;15.15;3743;561;43;14.99;7.66;0.08;12.11;54.5;16.7;0;0;0.53;2.24;6.86;6.86
com.appcraft.pixelart;45.27;8.76;22.46;30.15;34.52;34.52;900738;1679;80;0.19;4.76;0.03;0.05;83.3;40;42.9;3.96;10.17;13.65;15.63;15.63
waterrush;45.25;0;2.04;7.51;7.51;7.51;1335;297;40;22.25;13.47;0.15;33.9;92.3;25;0;0;0.92;3.4;3.4;3.4
Zombie Tsunami;45.22;14.25;14.4;17.38;24.69;24.69;15495;2755;147;17.78;5.34;0.02;2.92;57.5;32.4;38.5;6.44;6.51;7.86;11.16;11.16
Brain Dots;45.21;179.56;186.73;192.01;192.16;195.52;13844;421;104;3.04;24.7;0.11;3.27;83.9;41.9;23.5;81.18;84.42;86.81;86.88;88.39
com.supertapx.tappyshots;45;38.43;47.23;48.25;51.34;51.34;737;93;45;12.62;48.39;0.48;61.06;64.7;21.7;100;17.29;21.25;21.71;23.1;23.1
drift max city;45;9.34;9.37;13.92;16.12;17.73;1701;137;45;8.05;32.85;0.33;26.46;66.7;66.7;0;4.21;4.22;6.26;7.25;7.98
Fun Run 2 iOS;45;6.35;12.58;12.58;12.58;19.91;1944;199;45;10.24;22.61;0.23;23.15;0;0;0;2.86;5.66;5.66;5.66;8.96
slash/dots.;44.96;31.07;45.64;45.64;53.42;68.03;1198;79;45;6.59;56.96;0.57;37.53;0;100;33.3;13.97;20.52;20.52;24.02;30.59
dumb ways {1195};44.87;503.48;505.32;510.36;511.1;511.1;6166;2791;135;45.26;4.84;0.02;7.28;48.6;58.3;21.4;225.91;226.73;229;229.33;229.33
High Risers;44.84;44.93;47.87;69.94;156.04;156.04;716;67;37;9.36;55.22;0.67;62.63;69.2;57.1;25;20.15;21.47;31.36;69.97;69.97
Plants vs. Zombiesä‹¢ 2;44.59;1.55;14.66;22.54;24.61;24.61;8696;307;85;3.53;27.69;0.15;5.13;88.9;0;0;0.69;6.53;10.05;10.97;10.97
my angela;44.23;1.58;5.57;5.57;8.18;9.08;9382;2557;123;27.25;4.81;0.02;4.71;50;42.9;20.5;0.7;2.46;2.46;3.62;4.01
Best Fiends Forever;44;28.09;43.04;54.17;57.72;76.2;2503;258;24;10.31;9.3;0.17;17.58;0;0;0;12.36;18.94;23.84;25.4;33.53
Flip Diving;43.95;41.75;57.11;58.76;58.76;58.76;4290;136;44;3.17;32.35;0.32;10.24;71.4;0;0;18.35;25.1;25.82;25.82;25.82
Thumb Drift;43.89;20.36;29.38;44.41;52.58;52.58;7583;419;128;5.53;30.55;0.1;5.79;79.4;67.4;27;8.94;12.9;19.49;23.08;23.08
Tigerball;43.85;9.72;12.81;13.86;13.86;13.86;3956;279;96;7.05;34.41;0.16;11.09;100;0;0;4.26;5.62;6.08;6.08;6.08
cat evolution;43.75;9.44;23.06;24.54;28.72;30.9;1940;235;28;12.11;11.91;0.19;22.55;0;0;0;4.13;10.09;10.74;12.57;13.52
a word ios;43.72;6.25;12.45;42.17;45.84;45.91;54390;950;118;1.75;12.42;0.05;0.8;66.7;44.4;41.7;2.73;5.44;18.44;20.04;20.07
mtd;43.7;8.69;11.78;21.58;24.76;24.76;3361;1457;96;43.35;6.59;0.03;13;70;27.3;57.1;3.8;5.15;9.43;10.82;10.82
Taps to Riches - iOS (GC);43.68;28.18;45.1;53.02;78.31;78.31;3502;162;110;4.63;67.9;0.27;12.47;75;83.3;30.8;12.31;19.7;23.16;34.2;34.2
big hunter;43.64;30.29;46.08;72.47;77.24;77.33;6282;2296;110;36.55;4.79;0.02;6.95;68.4;42.1;17.2;13.22;20.11;31.63;33.71;33.75
BikeRaceTFG;43.58;0;6.63;12.01;13.68;13.68;1701;319;35;18.75;10.97;0.14;25.62;70;44.4;45.5;0;2.89;5.23;5.96;5.96
Case Clicker;43.54;49.31;51.05;51.81;51.81;51.81;3832;188;92;4.91;48.94;0.23;11.36;75;0;0;21.47;22.23;22.56;22.56;22.56
Squashy Bug;43.49;12.77;14.97;14.97;15.47;15.47;841;104;34;12.37;32.69;0.42;51.71;80;37.5;50;5.55;6.51;6.51;6.73;6.73
dig out!;43.4;26.09;39.92;48.11;74.12;77.92;3472;614;168;17.68;27.36;0.07;12.5;81;72.7;35;11.32;17.33;20.88;32.17;33.82
mr jump s;43.3;13.43;26.24;29.44;31.72;39.35;5384;1451;80;26.95;5.51;0.03;8.04;54.5;10;30.4;5.82;11.36;12.75;13.74;17.04
parking free iphone {2337};43.14;24.39;63.75;135.29;140.2;140.2;6566;252;86;3.84;34.13;0.17;6.57;75.9;58.7;44.4;10.52;27.5;58.36;60.48;60.48
Bowmasters - Top Multiplayer Bowman Archery Game;43.05;2.12;14.23;18.69;26.74;26.89;6757;225;73;3.33;32.44;0.19;6.37;89.5;0;0;0.91;6.13;8.05;11.51;11.58
blocks;43.02;7.32;15.4;23.91;24.06;24.06;2000;88;42;4.4;47.73;0.49;21.51;25;28.6;44.4;3.15;6.62;10.29;10.35;10.35
mope.io;43;3.91;4.76;15.52;38.33;38.33;5275;150;44;2.84;29.33;0.29;8.15;50;25;0;1.68;2.05;6.67;16.48;16.48
mmm fingers;42.97;12.41;12.8;13.27;14.58;14.58;5436;2052;98;37.75;4.78;0.02;7.91;80.8;33.3;46.2;5.33;5.5;5.7;6.26;6.26
Dumb Ways 2 {2739};42.88;28.57;41.49;45.81;55.08;55.08;5416;369;108;6.81;29.27;0.12;7.92;66.7;31.3;40;12.25;17.79;19.64;23.62;23.62
Driving School 3D;42.85;184.8;211.73;318.81;435.51;435.51;7718;167;74;2.16;44.31;0.26;5.55;67.6;0;0;79.19;90.73;136.61;186.63;186.63
guns of boom;42.74;78.14;143.6;156.05;174.55;174.55;1620;100;38;6.17;38;0.43;26.38;50;62.5;58.3;33.4;61.38;66.7;74.6;74.6
PickCrafter iOS;42.4;14.55;22.46;22.69;32.81;32.81;1122;139;82;12.39;58.99;0.31;37.79;80;47.4;0;6.17;9.52;9.62;13.91;13.91
Rolling Sky;42.39;13.02;13.48;15.04;15.44;15.44;7690;532;107;6.92;20.11;0.08;5.51;65.5;100;0;5.52;5.71;6.37;6.54;6.54
MMX Racing {2439};42.28;21.53;38.54;46.11;47.17;50.99;2972;106;34;3.57;32.08;0.4;14.23;93.3;85.7;33.3;9.1;16.3;19.5;19.95;21.56
Block City Wars;42.26;6.85;8.44;8.44;31.56;31.56;2337;298;43;12.75;14.43;0.14;18.08;0;0;0;2.9;3.57;3.57;13.34;13.34
Bubble Cloud Planet;42.2;19.49;33.7;42.29;54.53;64.39;52151;9403;124;18.03;1.32;0;0.81;91.7;71.4;57.1;8.23;14.22;17.85;23.01;27.17
My Talking Angela;42.19;16.9;21.59;23.23;23.78;23.78;6526;359;79;5.5;22.01;0.12;6.46;40;0;0;7.13;9.11;9.8;10.03;10.03
stickman fight 2 player physics games;42;2.2;4.01;14.06;14.06;15.79;1294;98;42;7.57;42.86;0.43;32.46;0;66.7;50;0.92;1.68;5.91;5.91;6.63
dumb ways {1195};42;41.66;41.66;41.66;43.78;43.78;2043;232;42;11.36;18.1;0.18;20.56;100;0;40;17.5;17.5;17.5;18.39;18.39
mr jump;41.83;48.58;59.1;59.26;61.54;61.54;10058;2878;125;28.61;4.34;0.01;4.16;65.2;41.7;31.7;20.32;24.72;24.79;25.74;25.74
Fruit Ninja Free iOS;41.52;59.77;59.77;59.77;61.36;61.36;1439;197;34;13.69;17.26;0.21;28.85;66.7;33.3;0;24.81;24.81;24.81;25.47;25.47
jetpack;41.41;31.31;41.78;55.17;77.96;78.11;4449;627;147;14.09;23.44;0.07;9.31;78.8;46.7;42.1;12.96;17.3;22.84;32.28;32.35
Once Upon a Tower;41.24;44.86;48.01;59.13;61.06;64.34;4249;416;123;9.79;29.57;0.1;9.71;78.6;60;37.5;18.5;19.8;24.38;25.18;26.53
my tom (13+);41.21;20.66;21.62;34.48;42.73;54.12;16613;4737;119;28.51;2.51;0.01;2.48;58.8;39.5;28.6;8.51;8.91;14.21;17.61;22.3
Dumb Ways 2 {2739};41.2;10.53;45.97;45.97;47.73;47.73;2087;132;43;6.32;32.58;0.31;19.74;37.5;33.3;50;4.34;18.94;18.94;19.67;19.67
lep's world;40.99;0;0;0.56;0.56;0.56;5354;182;35;3.4;19.23;0.23;7.66;44.4;33.3;0;0;0;0.23;0.23;0.23
lep's world;40.71;13.75;17.8;19.47;21.91;21.91;13101;1702;109;12.99;6.4;0.02;3.11;60;28.9;0;5.6;7.25;7.93;8.92;8.92
Peak - Brain Training;40.66;9.66;21.02;25.78;26.86;26.86;4084;146;35;3.57;23.97;0.28;9.96;100;0;0;3.93;8.55;10.48;10.92;10.92
Zombie Road Trip;40.4;8.82;10.78;14.23;17.82;17.82;1636;105;41;6.42;39.05;0.38;24.69;76;0;0;3.56;4.36;5.75;7.2;7.2
White Tiles 4 _ NEW;40.3;6.08;6.9;6.9;18.72;18.72;5132;364;111;7.09;30.49;0.11;7.85;78.9;57.1;33.3;2.45;2.78;2.78;7.54;7.54
sniper3dAppleKR;40.15;71.86;81.23;93.56;131.65;131.65;13987;683;59;4.88;8.64;0.06;2.87;100;60;100;28.86;32.62;37.57;52.86;52.86
chestsim;40.06;3.46;13.94;14.76;14.76;14.76;2180;115;38;5.28;33.04;0.35;18.38;70;57.1;55.6;1.39;5.58;5.91;5.91;5.91
sonic dash;40;21.42;27.79;37.59;37.59;37.59;3909;1635;50;41.83;3.06;0.02;10.23;0;0;0;8.57;11.12;15.04;15.04;15.04
ballz;40;47.12;54.63;64.61;100.79;100.79;11520;236;40;2.05;16.95;0.17;3.47;77.1;0;0;18.85;21.85;25.85;40.31;40.31
boss 3;39.91;10.38;10.38;14.68;26.7;26.7;2217;1100;90;49.62;8.18;0.04;18;78.3;46.4;25.9;4.14;4.14;5.86;10.65;10.65
icy ropes;39.85;9.56;10.47;10.47;11.59;11.59;2265;714;53;31.52;7.42;0.06;17.6;100;0;0;3.81;4.17;4.17;4.62;4.62
com.mobiray.caseopener;39.83;3.96;7.32;18.51;33.21;33.21;56882;666;92;1.17;13.81;0.06;0.7;83.3;65.6;40;1.58;2.92;7.37;13.23;13.23
my tom (13+);39.71;4.27;5.55;20.48;29.4;31.94;17226;5576;136;32.37;2.44;0.01;2.31;66.7;60;31.3;1.7;2.2;8.13;11.68;12.69
slidey;39.52;24.55;76.32;129.03;155.81;155.81;3681;1192;69;32.38;5.79;0.03;10.74;85.7;66.7;50;9.7;30.16;50.99;61.58;61.58
Matches;39.5;46.67;56.09;57.98;60.91;60.91;3343;1134;69;33.92;6.08;0.03;11.82;78.9;50;35.3;18.43;22.16;22.9;24.06;24.06
Grumpy Cat's Worst Game Ever;39.25;4.13;7.67;14.8;76.68;89.17;1292;210;26;16.25;12.38;0.19;30.38;0;0;0;1.62;3.01;5.81;30.1;35
dwts;38.92;198.34;233.19;241.5;254.74;254.74;1449;66;35;4.55;53.03;0.59;26.86;70;44.4;33.3;77.19;90.76;93.99;99.15;99.15
lep's world;38.83;7.73;10.28;12.41;13.26;13.26;15254;3712;128;24.33;3.45;0.01;2.55;66.1;30.4;0;3;3.99;4.82;5.15;5.15
tom pool;38.8;4.25;5.1;6.55;152.43;152.43;3112;417;111;13.4;26.62;0.09;12.47;45.5;53.8;27.6;1.65;1.98;2.54;59.15;59.15
Real Boxing 2;38.6;10.95;21.57;30;61.97;74.83;2923;682;44;23.33;6.45;0.06;13.21;0;0;25;4.23;8.33;11.58;23.92;28.88
futurama;38.5;26.96;69.11;77.56;96.19;132.13;2952;207;20;7.01;9.66;0.19;13.04;0;0;0;10.38;26.61;29.86;37.03;50.87
Piano Tiles 2 (Don't Tap The White Tile 2);38.4;33.75;50.23;56.99;56.99;56.99;4255;323;74;7.59;22.91;0.12;9.02;69.2;0;0;12.96;19.29;21.88;21.88;21.88
Walkr;37.74;215.91;421.79;439.67;478.28;493.32;23815;407;71;1.71;17.44;0.09;1.58;0;0;50;81.48;159.18;165.93;180.5;186.18
c.a.t.s.;37.64;5.58;9.09;11.72;33;33;6245;142;33;2.27;23.24;0.27;6.03;88.9;62.5;53.3;2.1;3.42;4.41;12.42;12.42
Fortune city;37.61;22.59;41.32;42.63;43.86;47.63;11238;257;69;2.29;26.85;0.15;3.35;55.6;46.7;51.6;8.49;15.54;16.03;16.49;17.91
guns royale;37.43;12;30.05;32.17;38.8;38.8;2808;300;92;10.68;30.67;0.12;13.33;80;52.6;42.1;4.49;11.25;12.04;14.52;14.52
Coin Master;37.42;36.67;49.71;56.96;99.36;101.35;14691;376;108;2.56;28.72;0.1;2.55;77.8;55.6;60;13.72;18.6;21.31;37.18;37.93
Dungeon Inc iOS;37.07;60.1;96.8;121.72;160.86;172.43;2631;200;93;7.6;46.5;0.19;14.09;75;50;62.5;22.28;35.89;45.12;59.63;63.92
parking free;37;0;3.03;3.03;6.6;6.6;1580;73;29;4.62;39.73;0.51;23.42;70;0;100;0;1.12;1.12;2.44;2.44
catch up;36.85;95.07;103.72;103.93;116.86;132.26;1267;81;32;6.39;39.51;0.45;29.08;90.9;53.8;0;35.03;38.22;38.3;43.06;48.74
Bomber Friends;36.83;39.09;48.84;56.4;59.89;59.89;11224;3621;138;32.26;3.81;0.01;3.28;81.8;60.6;25.9;14.4;17.99;20.77;22.06;22.06
zoom3;36.69;61.81;118.96;132.89;145.45;145.45;5604;125;52;2.23;41.6;0.29;6.55;63.2;42.9;41.7;22.68;43.65;48.76;53.37;53.37
puzzle bump;36.67;63.46;86.41;103.24;114.04;114.04;3258;382;60;11.72;15.71;0.1;11.25;83.3;45.5;60;23.27;31.68;37.85;41.81;41.81
Goat Evolution;36.65;1.99;1.99;1.99;1.99;1.99;2199;201;39;9.14;19.4;0.18;16.67;0;0;33.3;0.73;0.73;0.73;0.73;0.73
se.illusionlabs.bacon-escape;36.61;17.04;21.24;22.5;36.53;36.93;1688;423;118;25.06;27.9;0.09;21.69;100;0;0;6.24;7.78;8.24;13.37;13.52
spinner;36.47;65.65;68.09;132.78;231.51;235.32;8594;1523;109;17.72;7.16;0.02;4.24;76.3;46.2;33.3;23.94;24.83;48.43;84.43;85.82
PvZ iOS;36.33;7.09;17.08;27.23;27.23;27.23;824;69;28;8.37;40.58;0.53;44.09;63.6;66.7;0;2.57;6.2;9.89;9.89;9.89
Hexa Pop - ios;36.3;43.04;67.91;85.9;125.52;125.52;1949;311;49;15.96;15.76;0.12;18.63;50;53.3;70.6;15.63;24.66;31.18;45.57;45.57
crash of cars;36.28;19.94;21.76;28.67;34.86;34.86;2714;170;34;6.26;20;0.21;13.37;100;60;25;7.23;7.89;10.4;12.65;12.65
Dancing Line;36;14.67;19.25;40.48;50.17;50.17;2937;106;36;3.61;33.96;0.34;12.26;100;0;0;5.28;6.93;14.57;18.06;18.06
Wordscapes;36;13.56;17.42;34.81;61.97;71.67;4083;225;36;5.51;16;0.16;8.82;55.6;20;33.3;4.88;6.27;12.53;22.31;25.8
blocks;35.92;21.84;25.45;31.12;55.09;55.09;6240;1550;63;24.84;4.06;0.02;5.76;42.9;54.5;29.4;7.85;9.14;11.18;19.78;19.78
almost a hero;35.75;32.88;63.25;80.51;99.73;103.49;1246;102;25;8.19;24.51;0.35;28.69;0;0;0;11.75;22.61;28.78;35.65;37
Brutal.io;35.71;6.32;25.18;45.23;47.26;47.26;2586;82;36;3.17;43.9;0.44;13.81;70;0;0;2.26;8.99;16.15;16.88;16.88
flippy hills;35.6;24.38;56.47;56.47;67.3;69.33;2478;603;42;24.33;6.97;0.06;14.37;0;100;0;8.68;20.1;20.1;23.96;24.68
Red Ball 4 (Ad Supported);35.46;33.49;38.05;55.99;61.52;61.52;3854;225;68;5.84;30.22;0.16;9.2;65;0;0;11.88;13.49;19.86;21.82;21.82
Tap Titans 2;35.42;73.63;114.1;233.94;265.58;317.65;4813;235;77;4.88;32.77;0.15;7.36;77.8;57.1;33.3;26.08;40.41;82.86;94.07;112.51
Puppy Love;35.4;0;0;0;0;0;2234;586;36;26.23;6.14;0.06;15.85;50;100;0;0;0;0;0;0
